name,lat,long,L,KM6
288,56.815367,53.215284,29903,0
289,42.692505,22.144104000000002,278539,0
290,34.037077000000004,-117.049174,123326,1
291,39.77346,-75.60144100000001,135113,1
292,40.554457,45.853043,750826,0
293,10.472817,32.203804999999996,380178,5
294,36.198505,-95.743792,751970,1
295,63.790248,-68.517713,122792,1
296,41.778318,22.880451,387198,0
297,38.768055,-90.616632,627518,1
298,42.109654,-88.309393,990824,1
299,2.0204869999999997,15.198056,578141,5
300,32.659451000000004,-96.547219,108240,1
301,14.177026000000001,43.291212,782902,5
302,1.9108189999999998,33.19447,750865,5
303,-19.819009,34.887736,97914,5
304,46.219734,-119.883858,4575070,1
305,46.846081,9.481581,684703,0
306,42.522118,-96.38082800000001,283919,1
307,35.937084999999996,139.65878,785664,3
308,30.379302000000003,-88.789564,768491,1
309,1.495889,21.010205,22656,5
310,42.879329999999996,-88.14872,638154,1
311,34.834917,-87.651174,246348,1
312,26.610205999999998,-81.861804,105732,1
313,37.793201,-81.203299,737933,1
314,56.766303,105.76464399999999,402857,3
315,39.701079,64.536922,386584,3
316,35.823622,-97.443727,560166,1
317,64.21305600000001,-51.736659,756493,1
318,-21.633164,-55.189795999999994,694212,4
319,31.166958,29.951605999999998,577717,0
320,43.355333,-72.338376,557639,1
321,9.917132,13.934652,78669,5
322,23.202776999999998,75.76975999999999,478218,3
323,25.454743,51.3528,681405,0
324,31.117967999999998,74.431608,458550,3
325,30.137403999999997,-96.39083199999999,660129,1
326,42.725709,-90.495011,11971,1
327,42.696849,-84.26459100000001,437478,1
328,39.507658,-84.771102,713386,1
329,32.459953000000006,71.435571,186170,3
330,46.553564,15.108343,22886,0
331,76.008038,-65.087233,955106,1
332,40.508917,20.29429,187611,0
333,41.51563,21.931993,232435,0
334,57.25638299999999,22.604807,557544,0
335,-28.654321000000003,153.565234,660700,2
336,40.401601,-79.908813,198989,1
337,46.817633,-100.753103,979641,1
338,56.549243999999995,27.856613,785069,0
339,41.78586,-87.898187,352250,1
340,30.638465000000004,-87.074988,157790,1
341,29.391942999999998,47.977286,465832,0
342,-1.909673,-55.518705000000004,934199,4
343,-8.739349,25.025213,526112,5
344,-9.417850999999999,18.438644,263260,5
345,33.655241,-95.554167,704977,1
346,-4.782204,11.879722000000001,217600,5
347,-40.722522,-64.93700600000001,127861,4
348,40.343565000000005,-79.63686,777817,1
349,34.053193,-4.992723000000001,660110,0
350,9.282776,-82.414449,251910,1
351,46.760222,36.783844,348841,0
352,-21.21937,-63.498321999999995,58359,4
353,-10.041346,148.569736,631417,2
354,27.315386,91.537362,526622,3
355,46.287687,28.610668,82770,0
356,11.071136,124.577693,979643,3
357,-4.337695,15.277095999999998,697287,5
358,39.409744,-86.403093,481254,1
359,28.596388,-81.73129200000001,50406,1
360,-17.954053,25.841541,183461,5
361,40.955135999999996,-73.873216,742523,1
362,34.553687,-111.854441,305366,1
363,46.677409000000004,16.388237,325048,0
364,30.245542999999998,-92.63727,132309,1
365,53.556109,10.002706,254791,0
366,51.242387,0.5409649999999999,931672,0
367,42.002305,21.564344000000002,592744,0
368,43.652796,-116.654839,613782,1
369,48.476768,-89.262718,177990,1
370,-35.522453999999996,144.95772,910810,2
371,43.730089,127.353145,74280,3
372,-37.949591,-72.454674,452211,4
373,5.922594,43.492719,212882,5
374,23.936525,35.461563,115629,0
375,5.2545459999999995,-59.172587,917953,4
376,33.958355,-118.195067,920240,1
377,38.404167,-82.451139,508894,1
378,43.455935,-76.493284,633294,1
379,-23.390823,-51.436313,36698,4
380,-15.000577999999999,-73.785296,2504028,4
381,22.649983,120.286267,570525,3
382,37.183731,-95.73129300000001,635710,1
383,64.512691,34.765758,912134,0
384,29.400859999999998,-95.072722,621401,1
385,42.558138,-114.47022700000001,767530,1
386,31.62015,20.011837,343298,0
387,44.294838,-88.337273,279921,1
388,12.508283,124.635178,595912,3
389,18.77831,-69.029909,249540,1
390,51.594535,-3.967778,482321,0
391,29.045289,-80.96720400000001,961822,1
392,34.450542999999996,-119.731697,656008,1
393,41.652372,-93.801034,32186,1
394,8.507567,-80.38389699999999,250806,4
395,47.256115,28.312334999999997,315100,0
396,-14.918173000000001,13.525616000000001,373516,5
397,42.297779999999996,-87.905967,986152,1
398,32.877116,-97.112873,91,1
399,36.770340999999995,8.286348,736277,0
400,17.495466,-91.442553,770406,1
401,-9.230613,33.647690999999995,232596,5
402,10.301438000000001,-3.155561,269051,5
403,-31.146475,136.801865,512541,2
404,12.023564,8.497255000000001,360046,5
405,10.702418,-63.251391000000005,696415,4
406,41.342109,22.559516000000002,784858,0
407,42.520497999999996,-90.69530300000001,937483,1
408,39.10849,-84.458414,544624,1
409,51.898001,44.999285,670030,0
410,30.831476000000002,-82.00971700000001,541104,1
411,21.354197,105.47465700000001,234790,3
412,23.378337,88.548797,999885,3
413,61.132923999999996,10.504976,858313,0
414,0.8456809999999999,33.661152,93579,5
415,57.012983,21.546244,504164,0
416,39.806996000000005,127.638655,599043,3
417,56.056456999999995,12.709564,440542,0
418,57.222497,25.046578,728652,0
419,36.331547,-94.18881800000001,117236,1
420,39.957112,-111.785851,888369,1
421,55.049654000000004,-3.563079,163563,0
422,53.920211,-122.78150600000001,249847,1
423,31.106726000000002,30.944368,510230,0
424,33.065581,-84.158964,471436,1
425,50.811737,-0.159255,728955,0
426,5.649308,-67.608457,885694,4
427,28.788162,-81.27085500000001,852275,1
428,45.071334,-93.166461,833212,1
429,52.314282,76.96582099999999,498262,3
430,47.786599,16.255004,982262,0
431,36.448392999999996,7.418315,82676,0
432,18.922543,-99.233115,650895,1
433,36.042266999999995,14.325128,513283,0
434,42.71225,2.917646,715331,0
435,11.570514999999999,-15.010897,829011,5
436,32.418719,-96.83966099999999,886047,1
437,54.907364,64.443908,77629,0
438,57.518723,24.711856,880648,0
439,45.08211,-93.255884,183860,1
440,39.945014,-75.289203,935543,1
441,44.50922,135.519927,577352,3
442,47.901708,-97.058319,73679,1
443,34.252921,-85.21924200000001,895023,1
444,-23.59749,-62.615215,924005,4
445,36.830166999999996,54.45726,495789,0
446,32.789596,-97.707346,246911,1
447,41.341757,19.439654,441480,0
448,31.532666,-83.86093199999999,884089,1
449,46.366764,-94.272492,863771,1
450,38.346815,117.336582,161162,3
451,36.085673,120.325174,95374,3
452,-31.423671999999996,-64.192661,708117,4
453,6.821649000000001,-5.285666,673277,5
454,-32.332887,-54.153238,859363,4
455,12.169642999999999,-14.669588000000001,84711,5
456,37.722621999999994,-121.853072,1376112,1
457,-17.814593,48.397302,393896,5
458,34.408365,-119.49234799999999,673888,1
459,43.532145,21.723292,900435,0
460,45.084762,-93.05785,773918,1
461,63.774102,34.330949,72193,0
462,28.726929,121.454093,847607,3
463,-22.814132,47.831731,990477,5
464,26.876123,80.913861,594438,3
465,-30.420034,27.704582000000002,594101,5
466,36.40227,94.88917,979389,3
467,55.92913299999999,94.70780400000001,560144,3
468,39.880021,-4.042943,15950,0
469,42.04305,-88.147594,622969,1
470,55.795041000000005,94.320228,740683,3
471,48.465174,-68.518661,667000,1
472,42.118565999999994,-83.248187,502004,1
473,58.808071999999996,-122.55371000000001,609811,1
474,-25.120757,-50.181364,520182,4
475,19.201581,-96.156212,769986,1
476,63.654658,71.315393,732374,3
477,31.604057,130.540089,617572,3
478,-21.510051,-64.20383199999999,519061,4
479,-31.633546000000003,18.759204999999998,969103,5
480,-4.916705,-37.999043,343364,4
481,71.627618,128.86477,116870,3
482,40.517087,-80.024139,254594,1
483,39.323017,-82.107919,532408,1
484,71.713861,83.55114300000001,699193,3
485,38.389694,-87.573004,471332,1
486,39.359577,-74.427015,677746,1
487,43.646634999999996,-116.27011399999999,219888,1
488,52.60475699999999,156.248742,312801,3
489,57.81191999999999,28.314422999999998,105163,0
490,36.171152,-95.766622,240881,1
491,41.427248,-82.209563,97196,1
492,41.312486,36.355478999999995,332414,0
493,44.775951,21.002007,404495,0
494,32.262553999999994,36.227277,173529,0
495,40.095659999999995,113.271111,334008,3
496,39.862283000000005,-75.041172,799931,1
497,8.559172,16.112898,447567,5
498,56.105656999999994,27.544414,407707,0
499,42.983278000000006,-82.412062,572056,1
500,28.920324,-81.200675,805447,1
501,2.697331,-75.349316,459140,4
502,-0.746803,28.575120000000002,898375,5
503,45.707107,7.333292999999999,413137,0
504,44.307986,19.928175,92544,0
505,53.230237,63.610223,752036,0
506,18.706328,105.704047,448026,3
507,-22.381531,143.011843,511025,2
508,39.26481,-75.62241,309762,1
509,-8.186304,-76.592146,202967,4
510,51.907004,33.466021000000005,879875,0
511,32.557268,-94.870694,234145,1
512,41.209666999999996,-73.04645,187499,1
513,45.645506,25.618357,285913,0
514,45.948141,15.119532999999999,905402,0
515,17.131994,-25.039952,271507,4
516,-41.778817,171.649744,49863,2
517,61.5996,90.151537,338126,3
518,34.49755,-81.869029,973238,1
519,36.978805,-93.72766800000001,818077,1
520,25.883032999999998,-80.080634,15293,1
521,36.080682,-119.53783200000001,756090,1
522,32.860960999999996,-97.019039,720735,1
523,20.032076,42.570139000000005,442408,5
524,40.998008,-73.684507,889344,1
525,-22.554954000000002,-63.825539,810757,4
526,30.395315999999998,113.436204,991559,3
527,11.845907,-86.18016999999999,860392,1
528,39.799438,47.097747999999996,483901,0
529,35.469242,-94.361586,354331,1
530,21.175492000000002,106.02757700000001,909650,3
531,39.969057,116.415544,203951,3
532,38.371563,-87.75573299999999,2261818,1
533,27.504728000000004,-97.870462,865864,1
534,10.293459,13.288754999999998,861485,5
535,11.405101,16.169789,657161,5
536,45.61061,-95.916666,954501,1
537,46.512921999999996,15.649297,961267,0
538,58.437342,-3.1381419999999998,518248,0
539,-23.459421,-47.469722,630308,4
540,35.81197,14.502032,533393,0
541,13.710773999999999,-89.743039,4402,1
542,36.803789,-97.283671,103351,1
543,47.557255,27.721889,209312,0
544,-14.283951,-39.326982,625265,4
545,48.121796,11.594228,702430,0
546,10.29495,76.97869200000001,956729,3
547,64.010072,11.529285,152552,0
548,62.967608,65.068534,663130,0
549,55.186838,30.209033,867234,0
550,17.042831,81.76453599999999,287976,3
551,25.446659,81.88166600000001,691562,3
552,-31.717058,-52.307786,867674,4
553,38.930413,-85.85216899999999,475478,1
554,37.779567,65.166431,812183,3
555,-23.508451,148.14551200000002,925570,2
556,10.842143,0.233158,845175,5
557,-16.112845999999998,46.617182,411696,5
558,28.625412,-96.620114,467808,1
559,40.46046,113.14303600000001,583814,3
560,-36.762722,-59.855453000000004,993928,4
561,41.472227000000004,-82.095073,640714,1
562,35.719668,10.087826,521128,0
563,1.186977,33.904003,841485,5
564,37.985068,-120.34279599999999,555270,1
565,-18.908887,-41.942755,962180,4
566,16.264495,-0.063351,387266,5
567,39.419631,-74.50394200000001,911355,1
568,-31.294519,-54.123385999999996,578066,4
569,33.796479999999995,-116.568502,156463,1
570,47.158770000000004,7.261208,973643,0
571,40.687718,-74.26468,649695,1
572,2.380562,32.832440999999996,53738,5
573,13.844319,100.079111,346821,3
574,32.95963,-103.372834,237125,1
575,40.632497,-74.281254,551886,1
576,41.922756,22.3906,266339,0
577,42.879353,-78.690428,881509,1
578,37.779376,65.236388,116290,3
579,35.256971,-89.67194599999999,363044,1
580,33.133092,-86.838598,344192,1
581,51.702767,-91.827022,243572,1
582,39.923649,48.378095,597842,0
583,45.764012,62.086311,826704,0
584,33.418929,-87.01722600000001,616371,1
585,44.172557,-93.97405,214627,1
586,39.654022999999995,-74.78478299999999,448507,1
587,47.399865999999996,130.384849,879580,3
588,32.676055,14.241898,842361,0
589,10.050199000000001,-72.520185,791052,4
590,57.774135,25.999987,197945,0
591,14.839273,120.29985900000001,23110,3
592,42.515289,-92.455822,559791,1
593,5.344066000000001,163.00303799999998,81857,2
594,57.230901,25.244542000000003,125275,0
595,12.304575999999999,76.671335,304542,3
596,45.937077,20.05865,863390,0
597,39.53136,-107.30845,581599,1
598,33.931212,-118.217165,514593,1
599,34.875688000000004,71.137785,1399,3
600,-6.06027,-76.924273,814116,4
601,62.012551,-6.843934,831463,0
602,36.065249,-119.51670700000001,396514,1
603,-4.199402,152.137947,63767,2
604,41.115482,45.436541999999996,826441,0
605,45.356359999999995,-84.97559,479274,1
606,40.986827000000005,-74.06738299999999,684437,1
607,8.997978,37.863794,137153,5
608,41.130244,-81.876773,4139851,1
609,36.76867,-91.850749,44581,1
610,22.813738,-82.764894,725341,1
611,19.2653,101.75485400000001,738501,3
612,52.74714,-108.321572,73439,1
613,7.122658,6.715611999999999,328515,5
614,-8.259004,-78.98165,311281,4
615,46.053518,15.671166,256841,0
616,18.449633,-88.38825899999999,632174,1
617,-5.196225,39.741564000000004,836313,5
618,11.605659,125.430902,574161,3
619,42.682438,-74.496931,727291,1
620,7.135241000000001,125.63796699999999,176392,3
621,30.517647999999998,-92.10514599999999,842190,1
622,36.868041999999996,-120.46630400000001,869763,1
623,34.685882,133.92980500000002,472689,3
624,30.476746000000002,-90.438725,406732,1
625,-15.890195,-5.6818550000000005,577410,5
626,-29.79638,27.256574,943845,5
627,51.221543,24.678947,427733,0
628,14.529689000000001,46.784007,591695,5
629,-33.009797,-58.521471999999996,164657,4
630,41.792503,-88.00238900000001,18554,1
631,27.276877000000002,91.22554000000001,8786,3
632,35.887198,-84.469511,271784,1
633,5.871411,-55.145637,335661,4
634,-25.255967000000002,130.980203,675282,2
635,45.097405,-93.343079,245244,1
636,33.87576,-117.938336,931112,1
637,-18.988613,-57.604453,582488,4
638,16.176947,-89.45243,392031,1
639,-24.678547000000002,-65.029286,890883,4
640,26.136888,-80.156425,687574,1
641,39.27646,-77.8487,8769,1
642,35.469084,-97.430229,808758,1
643,6.742878,-3.466616,547440,5
644,12.834715,79.732007,275852,3
645,-0.84446,30.836161999999998,228831,5
646,47.128261,24.486528,549116,0
647,45.570408,13.741586999999999,42611,0
648,52.74258199999999,15.225551000000001,179304,0
649,42.614042,-88.261136,750133,1
650,33.924517,-118.004535,14103,1
651,34.307611,-83.829043,365808,1
652,38.285851,-104.614377,536700,1
653,44.631634000000005,-65.75483299999999,695297,1
654,47.140314000000004,28.580021999999996,532749,0
655,43.067105,-88.24075,677281,1
656,-14.885344,50.255534000000004,439507,5
657,44.021148,-116.943671,258344,1
658,43.484918,-116.42199699999999,113715,1
659,0.091946,-76.909305,340842,4
660,56.813522999999996,-5.10285,836288,0
661,39.483604,-0.45528100000000005,592039,0
662,41.86806,-87.75814100000001,754888,1
663,35.394543,-99.45993399999999,916751,1
664,30.361471999999996,-89.374759,134121,1
665,25.147532,82.549575,723058,3
666,40.705218,-73.35857,680421,1
667,-8.456089,-37.052161,64266,4
668,41.526185999999996,22.358991,746018,0
669,45.362140999999994,-122.78058999999999,18010,1
670,44.295071,-90.85181999999999,850739,1
671,18.754019,-69.016768,614999,1
672,36.749982,-120.09200700000001,529309,1
673,33.574670000000005,-86.779634,855036,1
674,-8.050294000000001,-39.094244,992722,4
675,3.3710080000000002,-59.783439,961408,4
676,58.388426,24.506975,760478,0
677,32.502225,-94.770431,748366,1
678,31.012529999999998,61.502669999999995,626934,3
679,36.997208,-121.975656,508487,1
680,44.842754,-91.50711,52318,1
681,33.588209,-84.330391,350730,1
682,42.036753000000004,21.576809,424818,0
683,-33.346416999999995,115.674352,239545,2
684,18.214623,-72.522091,4622316,1
685,40.841727,-74.109117,197546,1
686,-10.229785000000001,-48.313061,53773,4
687,37.829944,-94.682507,477458,1
688,-2.975557,104.734588,79968,3
689,42.702277,-73.678324,360001,1
690,41.00645,-74.19543900000001,865976,1
691,-30.130026,28.710594,926025,5
692,39.289714000000004,-89.857765,809926,1
693,41.217583000000005,-79.398155,797240,1
694,8.493077,4.523808,924495,5
695,-21.776386,-46.565771000000005,41755,4
696,34.114394,-118.70704599999999,131785,1
697,19.907852,56.338885999999995,812233,5
698,42.994171,-81.214077,462088,1
699,30.346890000000002,-95.09028599999999,476446,1
700,10.211428999999999,-61.446564,681034,4
701,4.376493,-7.708786999999999,724408,5
702,37.340309000000005,-92.938808,24168,1
703,47.241572,-122.341233,641176,1
704,-5.552301,14.42271,902679,5
705,14.637567,-16.311899,98405,5
706,16.832452,75.650853,554696,3
707,47.856848,-121.82206799999999,409091,1
708,36.824749,10.101569,631476,0
709,-0.502434,37.467459000000005,312981,5
710,18.015804,-92.908023,549523,1
711,53.289367000000006,69.387911,13759,3
712,11.429263,104.548792,175350,3
713,38.271937,21.728568,313136,0
714,35.52401,134.243169,860394,3
715,39.139944,-94.557754,359544,1
716,39.000236,-84.430814,608119,1
717,-3.727008,-40.344452000000004,415516,4
718,34.768648999999996,-96.661022,483897,1
719,54.633345999999996,-5.685849,730319,0
720,30.390805,-88.655852,558462,1
721,2.4969770000000002,30.926465999999998,753532,5
722,41.227522,-73.724663,973469,1
723,14.626184,-90.54148199999999,788127,1
